infiltration_mult,faulty_energy_kwh,fixed_energy_kwh,energy_savings_kwh,cost_savings_usd
0.5047992295616408,765554.3917458166,781300.8189328974,-15746.427187080844,-2361.9640780621266
0.5344358111121401,766484.8130325162,781300.8189328974,-14816.00590038125,-2222.400885057187
0.5236134278389298,766144.8658159913,781300.8189328974,-15155.953116906108,-2273.3929675359163
0.529213297057952,766320.7394880446,781300.8189328974,-14980.079444852774,-2247.011916727916
0.5195986919214339,766018.8111532122,781300.8189328974,-15282.007779685198,-2292.3011669527796
0.6171307435332063,769089.3506285977,781300.8189328974,-12211.46830429975,-1831.7202456449625
0.5454704687261329,766831.6469449851,781300.8189328974,-14469.171987912268,-2170.3757981868403
0.5008537474233072,765430.6468741783,781300.8189328974,-15870.172058719094,-2380.525808807864
0.5188914608822541,765996.608559439,781300.8189328974,-15304.210373458453,-2295.6315560187677
0.5564581752261611,767177.2239510304,781300.8189328974,-14123.594981867005,-2118.539247280051
0.6060317288401098,768739.0691846554,781300.8189328974,-12561.749748241971,-1884.2624622362955
0.7286118839005005,772619.6233724643,781300.8189328974,-8681.195560433087,-1302.179334064963
0.5227466769016207,766117.6490861995,781300.8189328974,-15183.169846697943,-2277.4754770046916
0.5270269936904057,766252.0680252293,781300.8189328974,-15048.750907668145,-2257.312636150222
0.521389419462703,766075.032781113,781300.8189328974,-15225.786151784356,-2283.8679227676535
0.5270739592653528,766253.5431162643,781300.8189328974,-15047.275816633133,-2257.09137249497
0.5303525582638501,766356.5269576418,781300.8189328974,-14944.29197525559,-2241.6437962883383
0.5083915276266711,765667.0842467974,781300.8189328974,-15633.73468610004,-2345.060202915006
0.5024819366916256,765481.7094359616,781300.8189328974,-15819.109496935853,-2372.866424540378
0.544415426769145,766798.4760448473,781300.8189328974,-14502.34288805013,-2175.3514332075197
0.5354402705929461,766516.3753954589,781300.8189328974,-14784.443537438521,-2217.666530615778
0.5742550933659235,767737.420535284,781300.8189328974,-13563.398397613433,-2034.5097596420148
0.5723939896331262,767678.8116187168,781300.8189328974,-13622.007314180606,-2043.3010971270908
0.5351444438953937,766507.0796685439,781300.8189328974,-14793.739264353528,-2219.060889653029
0.551923827768116,767034.586680341,781300.8189328974,-14266.232252556365,-2139.9348378834547
0.6572477157235527,770357.2419169398,781300.8189328974,-10943.577015957562,-1641.5365523936343
0.5791490013730414,767891.5665799801,781300.8189328974,-13409.252352917334,-2011.3878529376
0.5116085858946717,765768.0252944299,781300.8189328974,-15532.793638467556,-2329.9190457701334
0.5055150070246607,765576.8442198726,781300.8189328974,-15723.9747130248,-2358.59620695372
0.5054438800294148,765574.6130700016,781300.8189328974,-15726.205862895818,-2358.930879434373
0.5156030013757724,765893.383648331,781300.8189328974,-15407.435284566367,-2311.115292684955
0.5448957727926957,766813.5780503617,781300.8189328974,-14487.240882535698,-2173.0861323803547
0.516924336465888,765934.8580556201,781300.8189328974,-15365.960877277306,-2304.894131591596
0.5338237811699129,766465.5825816378,781300.8189328974,-14835.236351259635,-2225.285452688945
0.5217335867223867,766085.8389138025,781300.8189328974,-15214.980019094888,-2282.2470028642333
0.5713061009059537,767644.555265039,781300.8189328974,-13656.263667858439,-2048.439550178766
0.5031862877201052,765503.8004951162,781300.8189328974,-15797.018437781255,-2369.552765667188
0.5184761409315101,765983.5705543668,781300.8189328974,-15317.24837853061,-2297.5872567795914
0.5072398926499078,765630.9542117665,781300.8189328974,-15669.864721130929,-2350.4797081696393
0.5094260486622595,765699.542161704,781300.8189328974,-15601.27677119337,-2340.1915156790055
0.5446774440021759,766806.7137727402,781300.8189328974,-14494.105160157196,-2174.1157740235794
